t,transactions_transfers_volume_entity_adjusted_sum
2012-08-16,409071.98076022
2012-08-17,526053.33033806
2012-08-18,407304.29714697
2012-08-19,720477.19675947
2012-08-20,1029267.12214053
2012-08-21,656312.79256288
2012-08-22,746429.48993402
2012-08-23,541489.45161932
2012-08-24,626202.08061362
2012-08-25,493969.64136068
2012-08-26,370457.15990889
2012-08-27,616239.80826643
2012-08-28,607055.54426079
2012-08-29,493883.21012536
2012-08-30,471459.42825446
2012-08-31,863374.63255065
2012-09-01,558276.57393615
2012-09-02,334367.33263932
2012-09-03,285952.88038548
2012-09-04,593749.61756686
2012-09-05,482739.60540525
2012-09-06,548587.59432292
2012-09-07,397106.63004823
2012-09-08,314196.17892059
2012-09-09,759726.54166092
2012-09-10,752842.23718467
2012-09-11,793223.89987293
2012-09-12,604198.65412578
2012-09-13,504922.9058323
2012-09-14,552786.7839756
2012-09-15,405134.81398665
2012-09-16,405886.19211888
2012-09-17,514742.8839345
2012-09-18,544410.02799146
2012-09-19,852014.30628785
2012-09-20,715726.09523813
2012-09-21,631790.32849694
2012-09-22,270775.15504477
2012-09-23,270434.35206972
2012-09-24,444804.74911281
2012-09-25,741200.45643149
2012-09-26,599314.20292294
2012-09-27,535422.91442759
2012-09-28,576249.03316242
2012-09-29,383849.32360784
2012-09-30,346808.0188132
2012-10-01,474047.10125551
2012-10-02,668467.54867465
2012-10-03,664277.59630377
2012-10-04,564732.47266085
2012-10-05,456744.26780558
2012-10-06,262656.0619295
2012-10-07,327334.89402634
2012-10-08,434189.60092948
2012-10-09,466161.16694123
2012-10-10,433604.62702511
2012-10-11,482044.69877356
2012-10-12,422447.70450324
2012-10-13,287382.69751524
2012-10-14,307080.19981919
2012-10-15,383130.29941848
2012-10-16,429440.52595075
2012-10-17,578820.97066419
2012-10-18,496285.18339175
2012-10-19,403914.72806734
2012-10-20,469854.8824475
2012-10-21,287556.91171963
2012-10-22,381229.11469991
2012-10-23,446699.60510328
2012-10-24,417808.63663533
2012-10-25,624981.35998942
2012-10-26,454615.591228
2012-10-27,412617.26978016
