t,indicators_hodled_lost_coins
2011-08-06,4378909.953887796
2011-08-07,4379202.359630408
2011-08-08,4382336.700654655
2011-08-09,4389554.13257644
2011-08-10,4398013.358414055
2011-08-11,4405652.924382452
2011-08-12,4413114.329504002
2011-08-13,4420626.515506981
2011-08-14,4427786.539443289
2011-08-15,4433626.965463747
2011-08-16,4442000.388797725
2011-08-17,4449331.679728389
2011-08-18,4456954.78665243
2011-08-19,4463385.010752519
2011-08-20,4470990.249117111
2011-08-21,4480618.949447018
2011-08-22,4490365.055418465
2011-08-23,4499423.0445301635
2011-08-24,4507249.1199820135
2011-08-25,4495067.165545944
2011-08-26,4483041.05787629
2011-08-27,4442403.583560705
2011-08-28,4444459.33509731
2011-08-29,4449062.4665420065
2011-08-30,4453523.229346389
2011-08-31,4463148.193008562
2011-09-01,4471095.340404647
2011-09-02,4478357.315859175
2011-09-03,4485220.419993387
2011-09-04,4493583.302843311
2011-09-05,4500353.120183991
2011-09-06,4502769.863977288
2011-09-07,4506345.485183222
2011-09-08,4509901.677750275
2011-09-09,4506471.591144189
2011-09-10,4509127.402254001
2011-09-11,4510614.944071648
2011-09-12,4502822.2747193435
2011-09-13,4504988.61311051
2011-09-14,4502437.11181623
2011-09-15,4507030.387861005
2011-09-16,4512698.88795839
2011-09-17,4519144.107991499
2011-09-18,4527962.394366607
2011-09-19,4535793.883967545
2011-09-20,4542070.789639704
2011-09-21,4549339.224548703
2011-09-22,4557839.96441355
2011-09-23,4565898.054019423
2011-09-24,4572212.27569311
2011-09-25,4579786.266799862
2011-09-26,4584098.243568704
2011-09-27,4590675.159101884
2011-09-28,4598364.442027788
2011-09-29,4606334.702858893
2011-09-30,4612991.28022633
2011-10-01,4618890.188114402
2011-10-02,4625558.433637806
2011-10-03,4633978.85817805
2011-10-04,4640592.405400994
2011-10-05,4648470.324118112
2011-10-06,4646794.510953725
2011-10-07,4646255.481240136
2011-10-08,4652660.072427778
2011-10-09,4657783.481946166
2011-10-10,4662777.767699545
2011-10-11,4666844.760634555
2011-10-12,4671815.914760998
2011-10-13,4677198.965573459
2011-10-14,4683906.027899612
2011-10-15,4690875.070874824
2011-10-16,4698107.110766933
2011-10-17,4698595.724346533
2011-10-18,4693997.470743195
2011-10-19,4695446.542850994
2011-10-20,4699996.942733486
2011-10-21,4706867.384830106
2011-10-22,4709902.889620256
2011-10-23,4714319.318238558
2011-10-24,4721560.87367651
2011-10-25,4729695.245729119
2011-10-26,4735531.958176925
2011-10-27,4739359.304276265
2011-10-28,4743763.419241729
2011-10-29,4749989.89740306
2011-10-30,4754478.21180601
2011-10-31,4760694.629109778
2011-11-01,4767767.857371185
2011-11-02,4775735.602624488
2011-11-03,4779385.998229741
2011-11-04,4783814.227552415
2011-11-05,4790936.066786123
2011-11-06,4800283.222617318
2011-11-07,4808795.050894427
2011-11-08,4816291.050949338
2011-11-09,4803372.670001059
2011-11-10,4802008.6405929355
2011-11-11,4803923.945323443
2011-11-12,4807680.223880734
2011-11-13,4813176.019951864
2011-11-14,4819165.3783983495
2011-11-15,4821215.849857902
2011-11-16,4756815.419606303
2011-11-17,4741033.279344824
2011-11-18,4738427.975761581
2011-11-19,4740805.112289773
2011-11-20,4746015.091570011
2011-11-21,4746541.822271617
2011-11-22,4746803.925134541
2011-11-23,4749738.284258925
2011-11-24,4752108.051326201
2011-11-25,4751880.420120905
2011-11-26,4754454.300071434
2011-11-27,4758602.705689429
2011-11-28,4753714.11391742
2011-11-29,4753884.45468071
2011-11-30,4756860.108794684
2011-12-01,4758459.977425855
2011-12-02,4764972.432432728
2011-12-03,4773417.125196726
2011-12-04,4778087.412304401
2011-12-05,4780712.46400006
2011-12-06,4787772.379002702
2011-12-07,4794428.803624832
2011-12-08,4795653.620125414
2011-12-09,4799059.282405377
2011-12-10,4807841.910851508
2011-12-11,4813127.820288411
2011-12-12,4812980.317804907
2011-12-13,4820403.560487158
2011-12-14,4828683.240744292
2011-12-15,4834560.660713632
2011-12-16,4838244.529598045
2011-12-17,4844964.454317877
2011-12-18,4853946.494271697
2011-12-19,4857040.491711506
2011-12-20,4853971.235609376
2011-12-21,4856862.408729973
2011-12-22,4864934.00338242
2011-12-23,4872809.962590615
2011-12-24,4880866.213714128
2011-12-25,4889747.0357639
2011-12-26,4897700.564581884
2011-12-27,4905394.312541268
2011-12-28,4912944.3905855
2011-12-29,4918702.009392083
2011-12-30,4924872.747484821
2011-12-31,4933346.637830685
2012-01-01,4938733.706546352
2012-01-02,4936948.840128297
2012-01-03,4944092.724980763
2012-01-04,4950894.721998446
2012-01-05,4955272.453791848
2012-01-06,4960505.9424764495
2012-01-07,4967926.8724202225
2012-01-08,4976346.692452897
2012-01-09,4982246.895709162
2012-01-10,4987105.604804499
2012-01-11,4990469.211920003
2012-01-12,4996793.838268497
2012-01-13,4987907.415099198
2012-01-14,4994230.879798685
2012-01-15,4999903.097452961
2012-01-16,5007253.122076403
2012-01-17,5014521.3262276
2012-01-18,5017567.782420769
2012-01-19,5023903.608581793
2012-01-20,5028735.860260059
2012-01-21,5037804.676964369
2012-01-22,5046004.4067275785
2012-01-23,5055164.219468078
2012-01-24,5062977.611140236
2012-01-25,5069301.837871306
2012-01-26,5073865.444815868
2012-01-27,5079358.833987059
2012-01-28,5086189.0019816635
2012-01-29,5094015.181207543
2012-01-30,5103233.053185702
2012-01-31,5111053.768401227
2012-02-01,5117887.131079029
2012-02-02,5123825.185109907
2012-02-03,5132517.348516902
2012-02-04,5140075.54522356
2012-02-05,5147624.015644189
2012-02-06,5154805.638276502
2012-02-07,5161003.274176318
2012-02-08,5168353.93584981
2012-02-09,5176566.244612275
2012-02-10,5182850.155028692
2012-02-11,5186030.797582627
2012-02-12,5174095.771443585
2012-02-13,5178863.57417189
2012-02-14,5155849.10888349
2012-02-15,5144818.716928337
2012-02-16,5150980.256850313
2012-02-17,5157342.114937434
2012-02-18,5165541.21903471
2012-02-19,5173570.945921132
2012-02-20,5181769.149807591
2012-02-21,5188521.103852069
2012-02-22,5196392.145905759
2012-02-23,5204563.921976293
2012-02-24,5211155.954379085
2012-02-25,5217656.525784934
2012-02-26,5226407.039075436
2012-02-27,5234760.877995065
2012-02-28,5243205.557027848
2012-02-29,5252395.151176277
2012-03-01,5251341.260564156
2012-03-02,5257101.344767926
2012-03-03,5258906.129430758
2012-03-04,5264921.624793594
2012-03-05,5271793.61024205
2012-03-06,5279015.399344972
2012-03-07,5287060.455989126
2012-03-08,5294702.329715165
2012-03-09,5303482.430515452
2012-03-10,5311675.540662222
2012-03-11,5316908.876320267
2012-03-12,5326010.029379436
2012-03-13,5334233.41730781
2012-03-14,5340563.202287278
2012-03-15,5344967.218490473
2012-03-16,5348011.953459412
2012-03-17,5355917.083671421
2012-03-18,5360704.764636714
2012-03-19,5367320.149370993
2012-03-20,5374051.634758422
2012-03-21,5379901.02390792
2012-03-22,5387403.066797801
2012-03-23,5392382.983470089
2012-03-24,5397627.4112519305
2012-03-25,5405802.278228683
2012-03-26,5413812.582138284
