t,ma128,ma14,ma200,ma25,ma40,ma60,ma9,ma90
2012-03-02,5343633496147208.0,5948194721301512.0,6051663091310152.0,5938226921760483.0,5840802535711811.0,5656092307436514.0,5968762216478663.0,5401656045295401.0
2012-03-03,5344599298994057.0,5985216212620384.0,6045033331663327.0,5958384260840936.0,5861123124901830.0,5680219221639889.0,6026351202974686.0,5421043666777539.0
2012-03-04,5345565101840906.0,6022237703939257.0,6038403572016503.0,5978541599921389.0,5881443714091848.0,5704346135843263.0,6083940189470710.0,5440431288259676.0
2012-03-05,5346530904687754.0,6059259195258128.0,6031773812369678.0,5998698939001841.0,5901764303281866.0,5728473050046636.0,6141529175966733.0,5459818909741812.0
2012-03-06,5347496707534604.0,6096280686577001.0,6025144052722854.0,6018856278082294.0,5922084892471885.0,5752599964250011.0,6199118162462756.0,5479206531223950.0
2012-03-07,5357345492633538.0,6133302177895872.0,6018514293076029.0,6039013617162746.0,5942405481661902.0,5776726878453383.0,6256707148958780.0,5498594152706086.0
2012-03-08,5367194277732473.0,6170323669214745.0,6011884533429204.0,6059170956243199.0,5962726070851920.0,5794352053837439.0,6314296135454803.0,5517981774188223.0
2012-03-09,5377043062831408.0,6207345160533616.0,6005254773782381.0,6079328295323651.0,5983046660041938.0,5811977229221494.0,6371885121950826.0,5537369395670359.0
2012-03-10,5386891847930343.0,6244366651852489.0,5998625014135557.0,6099485634404104.0,6003367249231957.0,5829602404605550.0,6429474108446849.0,5556757017152496.0
2012-03-11,5396740633029277.0,6281388143171360.0,5991995254488732.0,6119642973484556.0,6023687838421974.0,5847227579989604.0,6429474108446849.0,5573075042024126.0
2012-03-12,5406589418128211.0,6318409634490233.0,5985365494841907.0,6139800312565009.0,6044008427611992.0,5864852755373659.0,6429474108446849.0,5589393066895755.0
2012-03-13,5416438203227146.0,6355431125809105.0,5978735735195084.0,6159957651645460.0,6064329016802010.0,5882477930757713.0,6429474108446849.0,5605711091767385.0
